#...i    step           time                          C_v                     C_i                    C_2i                   rho_N                     C_I                     d_J
    56      550  5.500000000000004E-001     1.163088100084692E-001  1.554874782858151E-001  4.225948705573593E-001  9.759049832397626E-001  7.979583828356730E-002  2.019266526818175E+000
    57      560  5.600000000000004E-001     1.170659888936114E-001  1.554769737189784E-001  4.192746612439258E-001  9.711946335517747E-001  7.717779807225794E-002  2.057526729582749E+000
    58      570  5.700000000000004E-001     1.178253109462463E-001  1.554767466292477E-001  4.160646756040034E-001  9.664593383232059E-001  7.468430338954803E-002  2.095941618549174E+000
    59      580  5.800000000000004E-001     1.185856003788632E-001  1.554857732934480E-001  4.129612041415563E-001  9.617015791793870E-001  7.231035693785522E-002  2.134454486743109E+000
    60      590  5.900000000000004E-001     1.193457933954797E-001  1.555031320902008E-001  4.099606592804518E-001  9.569237648947554E-001  7.005112899891548E-002  2.173006366417726E+000
    61      600  6.000000000000004E-001     1.201049271259846E-001  1.555279925481650E-001  4.070595715862768E-001  9.521282338669125E-001  6.790194958368863E-002  2.211536368336056E+000
    62      610  6.100000000000004E-001     1.208621298062785E-001  1.555596055961195E-001  4.042545861278594E-001  9.473172563364809E-001  6.585830132880785E-002  2.249982064669553E+000
    63      620  6.200000000000004E-001     1.216166120528544E-001  1.555972948876427E-001  4.015424589621678E-001  9.424930363699885E-001  6.391581307821181E-002  2.288279911528953E+000
    64      630  6.300000000000004E-001     1.223676591001610E-001  1.556404490858546E-001  3.989200537300054E-001  9.376577136220374E-001  6.207025409360845E-002  2.326365705933182E+000
    65      640  6.400000000000005E-001     1.231146238860251E-001  1.556885150051888E-001  3.963843383528536E-001  9.328133648924383E-001  6.031752884136996E-002  2.364175070868180E+000
    66      650  6.500000000000005E-001     1.238569208849810E-001  1.557409915175603E-001  3.939323818234931E-001  9.279620054937274E-001  5.865367230654937E-002  2.401643961041122E+000
    67      660  6.600000000000005E-001     1.245940206019077E-001  1.557974241396989E-001  3.915613510847808E-001  9.231055904444657E-001  5.707484578711854E-002  2.438709181047141E+000
    68      670  6.700000000000005E-001     1.253254446492112E-001  1.558574002269048E-001  3.892685079922914E-001  9.182460155038663E-001  5.557733312342125E-002  2.475308906982419E+000
    69      680  6.800000000000005E-001     1.260507613401541E-001  1.559205447061490E-001  3.870512063575222E-001  9.133851180635554E-001  5.415753731936148E-002  2.511383202100157E+000
    70      690  6.900000000000005E-001     1.267695817390415E-001  1.559865162883572E-001  3.849068890690876E-001  9.085246779125667E-001  5.281197751314116E-002  2.546874516945683E+000
    71      700  7.000000000000005E-001     1.274815561160120E-001  1.560550041059586E-001  3.828330852898518E-001  9.036664178919486E-001  5.153728625654080E-002  2.581728164543316E+000
